gm_index,Event,Stat,signal_pe_ratio_max,signal_ratio_max,snr_min,snr_max,snr_average,tail_ratio,mtail_ratio,tailnoise_ratio,mtailnoise_ratio,head_ratio,Snr_0.1_0.5,Snr_0.5_1.0,Snr_1.0_2.0,Snr_2.0_5.0,Snr_5.0_10.0,ft_a1_a2,PN/PGA,bracketedPGA_10_20,Ds575,Ds595,v18p7p4
1276.0,2014p933966,PRPC,0.044096043,0.082796078,1.36392,64.19484,35.53987,0.015803649,0.067476414,212.5662158,181.9570016,0.056171497,7.29116,19.28081,48.94891,45.66638,30.56445,0.342111423,0.077494718,2.336434446,10.66592096,35.91013286,1.0
1277.0,2014p933966,REHS,0.001778532,0.003492205,3.37288,1282.4191,376.58109,0.069316749,0.19190611,9859.970629,5290.019277,0.004468929,28.47179,234.23086,742.14542,749.6764,108.60148,0.247714048,0.004468929,1.235855836,7.576664664,14.03903811,1.0
1278.0,2014p933966,RHSC,0.005302668,0.01575353,1.12295,295.9814,125.48583,0.006480162,0.021187984,77.93415307,58.21393942,0.022144073,9.18567,43.62853,85.863,226.60464,89.58098,0.255987404,0.028743366,1.715674019,3.351029618,9.614254826,1.0
1279.0,2014p933966,SPRS,0.00308746,0.005266844,1.75601,592.72075,271.03755,0.00536686,0.01408609,832.8265549,669.8518466,0.008774684,10.50416,98.47726,454.35028,353.489,221.10764,0.132192107,0.010113326,1.738033485,5.191808336,13.7866182,1.0
1280.0,2014p933966,STKS,0.003379836,0.003795538,1.45144,20.73328,9.65813,0.007967693,0.024404729,101.9087904,10.20623065,0.001411635,7.03035,13.01648,10.13277,13.95223,6.74617,0.309352518,0.171450892,2.396113887,1.525860379,3.863832208,1.0
1281.0,2014p933966,TPLC,0.011529207,0.021988337,1.59059,588.59823,376.49989,0.001031495,0.003821715,188.6658304,124.0925798,0.001931392,20.25134,109.41506,280.73505,369.2131,453.91642,0.255245093,0.002853859,1.97526775,4.862082778,13.21177286,1.0
1282.0,2014p933966,WCSS,0.049724452,0.141863437,1.63944,126.56786,72.59624,0.004143648,0.015890865,469.3468844,340.6121071,0.014870718,2.942,18.22086,77.06189,115.87254,56.55065,0.257753562,0.021596813,1.76863949,8.17228224,19.58622048,0.0
1283.0,2014p933966,CMHS,0.002368878,0.00505974,2.57397,1123.92182,719.19783,0.019333023,0.056647575,2371.350453,1564.794628,0.002134266,17.30763,126.21303,769.57917,993.88092,652.88423,0.161499148,0.002563349,1.760763032,2.762620976,8.625551963,1.0
1284.0,2014p933966,CSTC,0.016072299,0.067425253,2.65958,119.81976,67.09878,0.008396467,0.031590369,193.0710095,182.2588903,0.024018636,3.84785,11.93639,47.4631,80.52941,72.91785,0.443186583,0.027937542,2.862321116,1.501582465,7.870037943,0.0
1285.0,2014p933966,DSLC,0.000720064,0.002124342,10.92715,4714.72419,2094.59262,0.000649238,0.00208996,891.0034958,194.2747351,0.000462228,129.0792,529.7119,1668.36307,2625.86575,2159.747,0.343932412,0.000504712,3.341488341,1.494991605,5.066601312,1.0
1286.0,2014p933966,HHSS,0.007997568,0.015204061,2.08019,970.1335,378.47951,0.000416674,0.001721986,49.34157977,41.61911765,0.001227784,12.55948,80.0451,189.84011,633.65757,321.51342,0.219409631,0.001764102,2.140511174,3.118909996,9.111138584,1.0
